type,code,name,active
COUNT,DZ,Dozen,true
COUNT,EA,Each,true
COUNT,HDZ,Half-Dozen,true
DATA-STORAGE,KB,Kilo-bytes,true
DATA-STORAGE,GB,Giga-bytes,true
DATA-STORAGE,MB,Mega-bytes,true
FREQUENCY,KHZ,KiloHertz,true
FREQUENCY,GHZ,GigaHertz,true
FREQUENCY,MHZ,MegaHertz,true
LENGTH,CM,Centimeters,true
LENGTH,INCH,Inches,true
LENGTH,KM,Kilometers,true
LENGTH,M,Meters,true
LENGTH,MM,Milimeters,true
MASS,G,Gram,true
MASS,KG,Kilogram,true
TIME,DAY,Day,true
TIME,MONTH,Month,true
TIME,SECOND,Seconds,true
TIME,WEEK,Week,true
VOLUME,LT,Litres,true